AÑO,MES,CAUDAL TRATADO (m3),TOTAL AGUA REUTILIZADA (m3)
2015,Enero,1199329,209678
2015,Febrero,1127281,355274
2015,Marzo,1364889,499776
2015,Abril,1211948,426219
2015,Mayo,1249908,579474
2015,Junio,1443288,625465
2015,Julio,1537226,684010
2015,Agosto,1622755,775768
2015,Septiembre,1726689,677351
2015,Octubre,1606558,389227
2015,Noviembre,1398769,238850
2015,Diciembre,1275032,250022
2016,Enero,1292055,347341
2016,Febrero,1248623,492034
2016,Marzo,1597068,545586
2016,Abril,1607397,456274
2016,Mayo,1389573,480794
2016,Junio,1485727,620406
2016,Julio,1553452,705771
2016,Agosto,1592891,776515
2016,Septiembre,1583208,716201
2016,Octubre,1675022,530865
2016,Noviembre,1463275,353829
2016,Diciembre,1934457,143009
2017,Enero,1519292,118416
2017,Febrero,1281048,147531
2017,Marzo,1851503,308195
2017,Abril,1765663,347218
2017,Mayo,1832561,477166
2017,Junio,1845047,672051
2017,Julio,1808881,640399
2017,Agosto,1645833,744848
2017,Septiembre,1630048,558010
2017,Octubre,1521879,470890
2017,Noviembre,1428389,336946
2017,Diciembre,1351268,214441
2018,Enero,1461501,507002
2018,Febrero,1378755,185065
2018,Marzo,1490220,505657
2018,Abril,1406439,509984
2018,Mayo,1432123,679950
2018,Junio,1447240,662979
2018,Julio,1415984,687103
2018,Agosto,1462199,760800
2018,Septiembre,1521245,604850
2018,Octubre,1612727,396496
2018,Noviembre,1641785,232908
2018,Diciembre,1519055,243960
2019,Enero,1481327,320561
2019,Febrero,1308824,404408
2019,Marzo,1412563,475592
2019,Abril,1640689,327281
2019,Mayo,1475669,453143
2019,Junio,1377470,596095
2019,Julio,1425504,695257
2019,Agosto,1520829,750911
2019,Septiembre,1668474,278215
2019,Octubre,1662188,293511
2019,Noviembre,1529257,318454
2019,Diciembre,1654149,89135
2020,Enero,1613942,210647
2020,Febrero,1607030,201300
2020,Marzo,1715170,306746
2020,Abril,1585224,237986
2020,Mayo,1635778,351730
2020,Junio,1435882,512835
2020,Julio,1462432,690712
2020,Agosto,1493649,763799
2020,Septiembre,1381336,691381
2020,Octubre,1411315,590277
2020,Noviembre,1415991,437183
2020,Diciembre,1388589,266696
2021,Enero,1401975,240566
2021,Febrero,1215263,374046
2021,Marzo,1456245,327096
2021,Abril,1426978,271773
2021,Mayo,1476454,461845
2021,Junio,1401075,517842
2021,Julio,1431093,646502
2021,Agosto,1408640,705687
2021,Septiembre,1408105,739601
2021,Octubre,1511687,517572
2021,Noviembre,1505345,239490
2021,Diciembre,1501741,192601
2022,Enero,1375688,342327
2022,Febrero,1211080,365875
2022,Marzo,1627474,145373
2022,Abril,1663269,94890
2022,Mayo,1620399,462954
2022,Junio,1492198,713061
2022,Julio,1461425,755530
2022,Agosto,1416475,761520
2022,Septiembre,1455470,674027
2022,Octubre,1513280,334177
2022,Noviembre,1433207,412193
2022,Diciembre,1478720,227979
2023,Enero,1395459,303558
2023,Febrero,1275316,336822
2023,Marzo,1403786,457736
2023,Abril,1263323,467674
2023,Mayo,1546337,564921
2023,Junio,1498984,535634
2023,Julio,1441654,724254
2023,Agosto,1523962,709689
2023,Septiembre,1648232,639949
2023,Octubre,1550427,510289
2023,Noviembre,1479230,571549
2023,Diciembre,1359201,385522
2024,Enero,1362265,499727
2024,Febrero,1361673,518874
2024,Marzo,1361463,577746
2024,Abril,1336001,557816
2024,Mayo,1466697,659599
2024,Junio,1481529,664395
2024,Julio,1647985,801285
2024,Agosto,1700393,862735
2024,Septiembre,1565953,654349
2024,Octubre,1528155,590226
2024,Noviembre,1516671,318522
2024,Diciembre,1400618,301886
2025,Enero,1458457,526890
2025,Febrero,1343084,260603
2025,Marzo,1684880,261554
2025,Abril,1466365,590747
2025,Mayo,1640102,567259
2025,Junio,1497143,728516
2025,Julio,1608028,842082
2025,Agosto,1536740,877915
2025,Septiembre,1482627,833555
2025,Octubre,1704378,595294
2025,Noviembre,1495033,668472
2025,Diciembre,1642858,211092