year,use,dwellings,area_m2
1992,1_residential,1,410.0
1997,1_residential,7,1443.0
2006,1_residential,13,2255.0
1982,1_residential,9,867.0
1981,1_residential,20,3729.0
1970,1_residential,20,2028.0
1991,1_residential,5,862.0
1980,1_residential,24,3856.0
1969,1_residential,12,2216.0
1976,1_residential,8,1956.0
1970,1_residential,23,2755.0
1985,1_residential,3,224.0
1999,1_residential,7,1142.0
2001,4_3_publicServices,1,1676.0
1990,1_residential,10,1452.0
1976,1_residential,16,2817.0
1973,1_residential,15,2426.0
1974,1_residential,30,3852.0
1968,1_residential,35,4950.0
1980,1_residential,12,1846.0
1974,1_residential,10,1690.0
1984,1_residential,24,4295.0
1986,1_residential,8,1582.0
1988,1_residential,12,2608.0
1969,1_residential,24,2820.0
1970,1_residential,113,10153.0
1968,1_residential,179,19680.0
1969,1_residential,24,2137.0
1969,1_residential,23,2433.0
1969,1_residential,20,1831.0
1969,1_residential,19,1934.0
1969,1_residential,20,2213.0
1969,1_residential,20,2367.0
1969,1_residential,20,2367.0
1969,1_residential,25,2115.0
1984,4_3_publicServices,0,2290.0
1982,1_residential,1,358.0
1967,1_residential,10,1079.0
1971,1_residential,10,1300.0
1967,1_residential,5,708.0
1964,1_residential,2,381.0
1984,1_residential,8,1166.0
1973,1_residential,4,803.0
1963,1_residential,1,262.0
1966,1_residential,3,534.0
1989,1_residential,1,297.0
1950,1_residential,1,228.0
1974,1_residential,5,790.0
1980,1_residential,8,1133.0
1932,1_residential,1,74.0
1932,1_residential,1,78.0
2008,1_residential,8,639.0
1950,1_residential,1,238.0
1983,1_residential,5,490.0
1966,1_residential,5,684.0
1973,1_residential,1,376.0
2018,1_residential,5,537.0
2011,1_residential,16,2535.0
1977,1_residential,73,11143.0
1993,1_residential,23,3283.0
2009,1_residential,14,1771.0
2007,1_residential,10,2168.0
1990,4_3_publicServices,0,8486.0
1954,4_3_publicServices,0,12408.0
1993,4_3_publicServices,0,11310.0
1960,4_3_publicServices,0,6916.0
1964,4_3_publicServices,0,8011.0
1984,4_3_publicServices,0,2290.0
1964,1_residential,41,4856.0
2007,1_residential,42,6824.0
1966,1_residential,39,5006.0
1965,1_residential,32,3055.0
1967,1_residential,13,2868.0
1967,1_residential,13,2987.0
1989,1_residential,20,9476.0
1960,1_residential,49,6346.0
1962,1_residential,6,1386.0
1968,4_2_retail,15,4954.0
1994,1_residential,0,9402.0
1971,1_residential,27,5436.0
1972,1_residential,28,6425.0
1971,1_residential,38,7331.0
1950,1_residential,26,3081.0
1956,1_residential,16,2633.0
1950,1_residential,14,2029.0
1958,1_residential,12,1516.0
1952,1_residential,1,1660.0
1960,4_2_retail,6,3854.0
1994,1_residential,15,1862.0
1952,1_residential,14,1110.0
1953,1_residential,6,637.0
1975,1_residential,10,1583.0
1940,1_residential,20,2780.0
1953,1_residential,12,1439.0
1950,1_residential,14,1015.0
1960,1_residential,8,1298.0
2007,1_residential,14,2367.0
1976,1_residential,14,2224.0
1999,1_residential,14,2504.0
2002,1_residential,17,3399.0
1961,1_residential,1,1491.0
1982,4_3_publicServices,0,3750.0
1940,4_3_publicServices,0,1155.0
1987,1_residential,50,12959.0
2008,1_residential,69,15399.0
1991,1_residential,5,793.0
1944,1_residential,1,250.0
1965,1_residential,4,412.0
1970,1_residential,8,1027.0
1963,1_residential,1,504.0
1960,1_residential,5,435.0
1991,1_residential,15,2392.0
2001,1_residential,9,970.0
1980,4_2_retail,0,406.0
1940,3_industrial,0,36.0
1961,1_residential,3,559.0
1950,1_residential,4,548.0
1997,1_residential,4,713.0
1976,1_residential,10,1070.0
1958,1_residential,1,296.0
1969,1_residential,7,1273.0
1963,1_residential,25,3365.0
1977,1_residential,14,2834.0
1946,1_residential,3,735.0
1977,1_residential,7,1734.0
1968,1_residential,19,2663.0
1964,1_residential,10,1196.0
2003,1_residential,12,2119.0
1955,1_residential,1,568.0
1993,1_residential,6,675.0
1960,1_residential,8,665.0
1978,1_residential,5,800.0
2005,1_residential,4,623.0
1960,1_residential,5,542.0
1956,1_residential,4,662.0
1940,1_residential,1,201.0
1964,1_residential,3,304.0
1969,1_residential,29,3754.0
2021,1_residential,7,965.0
1987,1_residential,9,1196.0
1935,1_residential,1,420.0
1935,1_residential,7,632.0
1920,1_residential,3,352.0
2007,1_residential,4,528.0
1964,1_residential,11,729.0
1936,1_residential,1,190.0
2006,1_residential,13,2269.0
1967,1_residential,19,2250.0
1973,1_residential,15,1716.0
1957,1_residential,1,373.0
1950,1_residential,1,300.0
1940,1_residential,1,216.0
1933,1_residential,2,210.0
1950,1_residential,3,401.0
1962,1_residential,12,854.0
2008,1_residential,13,1181.0
1991,1_residential,4,558.0
1932,1_residential,3,274.0
1974,1_residential,2,332.0
1976,1_residential,14,1829.0
1977,1_residential,28,4471.0
1984,1_residential,16,2518.0
1936,1_residential,1,1555.0
2007,1_residential,28,2174.0
1933,1_residential,7,1002.0
1960,1_residential,1,2831.0
1949,1_residential,1,1602.0
1980,1_residential,21,9081.0
1978,1_residential,59,15850.0
2001,1_residential,10,3423.0
2005,1_residential,27,5406.0
1988,1_residential,206,54809.0
1932,4_3_publicServices,0,4983.0
1957,1_residential,8,1151.0
1951,1_residential,12,1832.0
1950,1_residential,10,1405.0
1957,1_residential,1,1591.0
1988,1_residential,7,1170.0
2019,1_residential,36,7869.0
2003,1_residential,7,2433.0
1977,1_residential,14,3511.0
1958,1_residential,7,2284.0
1931,1_residential,11,2482.0
1956,1_residential,22,3163.0
1964,1_residential,14,2431.0
1957,1_residential,8,880.0
1999,4_3_publicServices,0,7043.0
2005,4_1_office,0,1941.0
1983,1_residential,119,20769.0
1966,1_residential,20,2863.0
1992,1_residential,6,2873.0
1976,1_residential,20,5649.0
1965,1_residential,29,4266.0
1959,1_residential,12,2152.0
1978,1_residential,16,2857.0
1936,1_residential,13,1477.0
1950,1_residential,14,2160.0
1978,1_residential,20,2476.0
1978,1_residential,0,9124.0
1955,1_residential,6,535.0
1963,1_residential,4,354.0
1977,1_residential,7,1075.0
1975,1_residential,14,2669.0
1978,1_residential,8,1701.0
1964,1_residential,8,762.0
1979,1_residential,14,1880.0
2020,1_residential,11,1881.0
1968,1_residential,13,896.0
1960,1_residential,4,358.0
1978,1_residential,8,913.0
1964,1_residential,1,156.0
1975,1_residential,4,1163.0
1927,1_residential,3,406.0
1960,1_residential,1,372.0
1963,1_residential,8,822.0
1962,1_residential,8,676.0
1990,1_residential,7,1011.0
1982,1_residential,1,536.0
1978,1_residential,7,1833.0
1995,1_residential,8,3644.0
1990,1_residential,14,2090.0
2009,1_residential,7,1249.0
1940,1_residential,4,457.0
1963,1_residential,14,1383.0
2001,1_residential,11,2270.0
2002,1_residential,11,1419.0
2010,1_residential,16,2378.0
1958,1_residential,12,1277.0
1987,1_residential,24,4518.0
1960,4_2_retail,0,4062.0
2023,1_residential,15,1363.0
1979,1_residential,12,1451.0
1931,1_residential,1,449.0
1967,1_residential,7,884.0
1957,1_residential,6,808.0
1954,1_residential,5,375.0
1996,1_residential,20,3903.0
1958,1_residential,12,1871.0
1959,1_residential,12,1699.0
1964,1_residential,12,1588.0
1964,1_residential,12,1666.0
1966,1_residential,20,3549.0
1977,1_residential,10,2729.0
1977,1_residential,30,6949.0
1958,4_2_retail,0,1045.0
1951,1_residential,21,2552.0
1943,1_residential,13,2379.0
1959,1_residential,16,3253.0
1945,1_residential,20,3700.0
1950,1_residential,12,1921.0
1962,1_residential,20,5888.0
1968,1_residential,14,2596.0
1962,1_residential,17,2618.0
1962,1_residential,32,4714.0
1974,1_residential,36,5976.0
1960,1_residential,14,2269.0
1966,1_residential,14,2238.0
1980,1_residential,28,5189.0
1980,1_residential,0,8676.0
2007,1_residential,13,1845.0
2006,1_residential,12,1623.0
1980,1_residential,13,2560.0
1970,1_residential,16,2150.0
1954,1_residential,10,1047.0
1975,4_2_retail,0,5726.0
1930,1_residential,6,1094.0
1988,1_residential,10,1858.0
1992,1_residential,9,1378.0
1930,1_residential,6,582.0
1928,1_residential,8,752.0
1930,1_residential,4,660.0
1945,1_residential,7,701.0
1970,1_residential,29,4040.0
1982,1_residential,10,2532.0
1950,1_residential,1,1733.0
2000,1_residential,14,3486.0
1996,1_residential,11,2203.0
1956,1_residential,5,506.0
1950,1_residential,1,478.0
2008,1_residential,5,846.0
1920,1_residential,5,476.0
1900,1_residential,1,765.0
1988,1_residential,7,1019.0
1973,1_residential,8,1554.0
1980,1_residential,7,1322.0
1939,1_residential,4,517.0
1976,1_residential,14,3516.0
1975,1_residential,14,2026.0
1980,1_residential,14,1777.0
1940,1_residential,3,315.0
2002,1_residential,5,542.0
1967,1_residential,4,658.0
1997,1_residential,9,1474.0
1976,4_2_retail,0,47372.0
1959,1_residential,22,2475.0
2008,1_residential,14,4483.0
1995,1_residential,40,8963.0
1961,1_residential,7,1816.0
1975,1_residential,38,7724.0
1970,1_residential,35,8173.0
1976,1_residential,510,29606.0
1977,4_1_office,0,2691.0
1940,1_residential,6,1001.0
1970,1_residential,18,2022.0
1915,1_residential,15,1663.0
1966,1_residential,14,2158.0
1990,1_residential,10,1524.0
1970,1_residential,14,1779.0
1995,1_residential,8,7561.0
1935,1_residential,1,473.0
1969,1_residential,7,1482.0
1965,1_residential,19,2882.0
1932,1_residential,1,1203.0
1936,1_residential,13,1793.0
1992,1_residential,12,2868.0
1999,4_1_office,0,2268.0
1980,1_residential,14,2804.0
1936,1_residential,8,1419.0
1955,1_residential,7,969.0
1936,1_residential,3,481.0
1947,1_residential,13,1450.0
1991,1_residential,9,1708.0
1936,1_residential,1,736.0
1936,1_residential,10,2178.0
2005,1_residential,10,2402.0
1985,1_residential,10,1643.0
1900,1_residential,3,450.0
1912,1_residential,1,1136.0
1973,1_residential,7,1647.0
1967,1_residential,19,2279.0
1960,4_1_office,8,7784.0
2010,1_residential,7,1844.0
1967,1_residential,20,4511.0
1968,1_residential,20,3193.0
1958,1_residential,16,2148.0
1997,1_residential,14,3141.0
1977,1_residential,0,7251.0
1971,1_residential,20,3121.0
1920,1_residential,8,784.0
1965,1_residential,1,782.0
1967,1_residential,12,2284.0
1969,1_residential,12,2246.0
1969,1_residential,12,2256.0
1959,1_residential,9,893.0
1935,1_residential,8,998.0
2004,1_residential,19,3675.0
1978,1_residential,21,2870.0
1981,1_residential,7,904.0
1940,1_residential,9,891.0
1989,1_residential,10,1882.0
1920,4_3_publicServices,0,727.0
2009,1_residential,10,3456.0
2009,1_residential,10,3220.0
1920,1_residential,8,1333.0
1910,1_residential,6,358.0
1965,1_residential,5,911.0
1991,4_1_office,0,710.0
1977,1_residential,10,1582.0
1933,1_residential,6,860.0
2013,4_1_office,0,1071.0
1989,1_residential,5,1169.0
1986,1_residential,10,1869.0
1931,1_residential,8,864.0
1933,1_residential,7,1444.0
1930,1_residential,6,1075.0
1934,1_residential,9,1214.0
2009,1_residential,10,1759.0
2000,1_residential,10,2070.0
1934,1_residential,0,468.0
2005,1_residential,42,10201.0
1963,1_residential,17,1754.0
1959,1_residential,16,1492.0
1968,1_residential,40,7369.0
1965,1_residential,17,2135.0
1954,1_residential,14,2389.0
1972,1_residential,14,2487.0
1951,1_residential,11,1275.0
1953,4_3_publicServices,0,756.0
1950,1_residential,5,784.0
1943,1_residential,1,2456.0
1956,1_residential,15,2991.0
1933,1_residential,9,1545.0
1972,1_residential,19,2714.0
1950,1_residential,1,382.0
1935,1_residential,1,412.0
1947,1_residential,6,600.0
1985,1_residential,21,6833.0
1942,1_residential,9,1470.0
1951,1_residential,8,1249.0
2016,4_1_office,0,2300.0
1977,1_residential,14,2449.0
1989,1_residential,12,3830.0
1940,1_residential,14,2162.0
1935,1_residential,1,1088.0
1951,1_residential,70,8179.0
1926,1_residential,9,976.0
1936,4_2_retail,0,190.0
1900,1_residential,8,724.0
2006,1_residential,8,1983.0
1920,1_residential,1,366.0
1962,1_residential,8,1197.0
1979,1_residential,27,6538.0
1970,1_residential,20,3200.0
1963,1_residential,10,2055.0
1975,1_residential,19,4229.0
1957,1_residential,12,1643.0
1910,1_residential,1,1407.0
1960,1_residential,5,748.0
1922,1_residential,7,689.0
1976,1_residential,14,1709.0
1970,4_1_office,0,2026.0
2006,1_residential,14,2252.0
1992,4_1_office,0,2269.0
1960,1_residential,29,4584.0
1959,1_residential,16,3159.0
1969,1_residential,18,4600.0
2003,1_residential,12,2830.0
1942,1_residential,1,1048.0
1950,1_residential,1,1237.0
1944,1_residential,1,1196.0
1949,1_residential,6,1173.0
1942,1_residential,1,916.0
1960,1_residential,13,3157.0
1960,1_residential,14,2951.0
1978,1_residential,15,3034.0
1942,1_residential,4,637.0
1949,1_residential,3,430.0
1928,1_residential,6,907.0
1928,1_residential,6,810.0
2007,1_residential,13,2293.0
1965,1_residential,13,1840.0
2002,1_residential,5,836.0
1920,1_residential,1,524.0
1956,1_residential,4,472.0
1969,1_residential,11,1716.0
1980,1_residential,8,989.0
1930,1_residential,1,523.0
2002,1_residential,8,1634.0
2022,1_residential,1,1702.0
1969,1_residential,36,5597.0
1981,1_residential,8,1519.0
1972,1_residential,30,4726.0
2016,4_2_retail,0,1231.0
1972,1_residential,20,3179.0
1973,1_residential,10,1734.0
1979,1_residential,21,2574.0
1930,1_residential,3,413.0
1954,1_residential,8,965.0
2006,1_residential,21,3932.0
2010,1_residential,20,2800.0
1977,1_residential,14,4244.0
1977,1_residential,35,5963.0
1972,1_residential,14,1994.0
1978,1_residential,56,11149.0
1965,1_residential,14,1723.0
1964,4_3_publicServices,0,3251.0
2002,1_residential,7,883.0
1997,1_residential,9,1004.0
1900,1_residential,6,385.0
1930,1_residential,3,417.0
1955,1_residential,8,1716.0
1971,1_residential,14,2115.0
1955,1_residential,1,1030.0
1950,1_residential,1,663.0
2000,1_residential,10,2053.0
1924,1_residential,6,660.0
1993,1_residential,5,1712.0
1968,1_residential,14,2274.0
1950,1_residential,1,859.0
1980,1_residential,10,1589.0
1975,1_residential,16,3326.0
2006,1_residential,0,3976.0
1940,1_residential,3,352.0
1937,1_residential,1,1585.0
1953,1_residential,3,288.0
1941,1_residential,1,284.0
1948,1_residential,1,436.0
1949,1_residential,2,347.0
1975,1_residential,1,2143.0
1925,1_residential,2,230.0
1989,1_residential,5,726.0
1950,1_residential,5,423.0
1993,1_residential,9,1799.0
2002,1_residential,9,2702.0
1980,1_residential,10,3221.0
1933,1_residential,6,1453.0
1997,1_residential,0,5803.0
1947,1_residential,1,2896.0
1945,1_residential,1,2879.0
1973,1_residential,71,15862.0
1968,1_residential,52,13841.0
1965,1_residential,12,2424.0
1965,1_residential,13,2252.0
1975,1_residential,5,601.0
1965,1_residential,3,737.0
1962,1_residential,14,2409.0
1978,1_residential,10,3715.0
1991,1_residential,10,997.0
1984,4_3_publicServices,0,2290.0
1954,4_3_publicServices,0,12408.0
1960,4_3_publicServices,0,6916.0
1964,4_3_publicServices,0,8011.0
1987,1_residential,24,4518.0
1960,4_2_retail,0,4062.0
2023,1_residential,15,1363.0
1979,1_residential,12,1451.0
1931,1_residential,1,449.0
1950,1_residential,1,478.0
1930,1_residential,2,171.0
1950,1_residential,8,1011.0
1939,1_residential,1,476.0
2008,1_residential,5,846.0
1920,1_residential,5,476.0
1900,1_residential,1,765.0
1973,1_residential,8,1554.0
1997,1_residential,9,1474.0
2009,1_residential,64,10506.0
1962,1_residential,10,2506.0
1964,1_residential,19,2487.0
1966,1_residential,25,4414.0
2009,1_residential,19,1100.0
1970,1_residential,10,798.0
2005,1_residential,8,581.0
1993,1_residential,4,1941.0
1972,1_residential,5,633.0
1960,1_residential,1,218.0
1976,1_residential,4,552.0
1988,1_residential,8,1028.0
1930,1_residential,3,402.0
1955,1_residential,3,650.0
1955,1_residential,3,423.0
1962,1_residential,3,331.0
1950,1_residential,5,545.0
1950,1_residential,5,555.0
1960,1_residential,1,360.0
1960,1_residential,5,380.0
2009,1_residential,5,419.0
1955,1_residential,4,329.0
1955,1_residential,1,295.0
1978,1_residential,4,440.0
1998,1_residential,3,470.0
1996,1_residential,1,363.0
1965,1_residential,10,842.0
1965,1_residential,16,1773.0
1963,1_residential,3,459.0
1809,4_3_publicServices,0,360.0
1972,1_residential,5,551.0
2004,1_residential,5,839.0
1965,1_residential,10,1154.0
1955,1_residential,3,361.0
1945,1_residential,1,411.0
1959,1_residential,8,1004.0
1959,1_residential,1,573.0
1987,1_residential,5,853.0
1970,1_residential,5,813.0
1988,1_residential,1,498.0
1963,1_residential,5,607.0
1986,1_residential,14,1955.0
1994,1_residential,6,679.0
2011,1_residential,11,1476.0
1978,1_residential,7,1573.0
1963,1_residential,17,1754.0
1959,1_residential,4,577.0
2007,1_residential,9,738.0
1965,1_residential,10,764.0
2003,1_residential,12,1902.0
1971,1_residential,14,1322.0
1971,1_residential,12,1963.0
1952,1_residential,4,645.0
1954,1_residential,1,338.0
1954,1_residential,2,280.0
1970,1_residential,6,693.0
1987,1_residential,5,640.0
1984,1_residential,3,631.0
1962,1_residential,11,1480.0
2005,1_residential,8,1541.0
1984,1_residential,4,918.0
2006,1_residential,4,1018.0
1994,1_residential,1,463.0
1960,1_residential,2,178.0
1983,1_residential,4,673.0
2007,1_residential,9,688.0
1966,1_residential,4,564.0
1960,1_residential,2,220.0
1963,1_residential,4,436.0
1960,1_residential,5,585.0
1995,1_residential,9,1022.0
1960,1_residential,4,394.0
1960,1_residential,1,650.0
1964,1_residential,8,728.0
1967,1_residential,4,484.0
1963,1_residential,5,478.0
1960,1_residential,1,226.0
1964,1_residential,3,294.0
1964,1_residential,1,624.0
2000,1_residential,5,538.0
2010,1_residential,20,2578.0
1981,1_residential,16,1522.0
1980,1_residential,16,1919.0
1964,1_residential,12,1114.0
1962,1_residential,10,1504.0
2006,1_residential,8,1038.0
1969,1_residential,10,1033.0
1946,1_residential,1,102.0
1981,1_residential,4,1058.0
1950,1_residential,1,158.0
1949,1_residential,3,393.0
1945,1_residential,1,256.0
1969,1_residential,4,536.0
1964,1_residential,5,653.0
1984,1_residential,20,3929.0
1980,1_residential,5,1016.0
1980,1_residential,24,4049.0
1971,1_residential,11,1455.0
1971,1_residential,5,854.0
2008,1_residential,21,4509.0
2006,1_residential,65,13507.0
1971,1_residential,30,6162.0
1970,1_residential,17,2125.0
1965,1_residential,7,819.0
1966,1_residential,16,1657.0
1966,1_residential,5,572.0
1961,1_residential,10,670.0
1964,1_residential,10,674.0
2021,1_residential,4,345.0
1950,1_residential,3,196.0
1970,1_residential,4,316.0
1970,1_residential,5,445.0
1969,1_residential,13,1876.0
1950,1_residential,17,2786.0
1977,1_residential,35,5963.0
1972,1_residential,14,1994.0
1980,1_residential,13,1918.0
1979,1_residential,14,2541.0
1965,1_residential,22,3363.0
1941,1_residential,8,950.0
1946,1_residential,14,1418.0
1936,1_residential,9,1139.0
1975,1_residential,14,3128.0
1992,1_residential,9,1890.0
1975,1_residential,16,3326.0
2006,1_residential,0,3976.0
1980,1_residential,10,3221.0
1933,1_residential,6,1453.0
1966,1_residential,9,895.0
1998,1_residential,9,1349.0
1930,1_residential,1,507.0
1922,1_residential,1,221.0
1930,1_residential,5,497.0
1920,1_residential,2,242.0
1918,1_residential,8,944.0
1987,1_residential,7,1219.0
2005,1_residential,17,3468.0
2005,1_residential,16,3134.0
2025,1_residential,28,2447.0
1920,1_residential,3,280.0
1940,1_residential,1,138.0
1940,1_residential,4,344.0
1992,1_residential,1,387.0
1950,1_residential,1,114.0
1979,1_residential,8,1050.0
1975,1_residential,5,1169.0
1969,1_residential,5,579.0
1980,1_residential,19,2918.0
1954,1_residential,1,484.0
1954,1_residential,1,221.0
1935,1_residential,1,207.0
1950,1_residential,1,124.0
1954,1_residential,3,290.0
1950,1_residential,5,826.0
1980,1_residential,5,615.0
1954,1_residential,1,554.0
1954,1_residential,1,374.0
1954,1_residential,1,606.0
1956,1_residential,4,665.0
1959,1_residential,4,438.0
1959,1_residential,3,423.0
1974,1_residential,6,975.0
1965,1_residential,8,826.0
1964,1_residential,8,837.0
2000,1_residential,10,1284.0
1980,1_residential,4,616.0
1955,1_residential,7,727.0
1940,1_residential,2,398.0
1950,1_residential,7,777.0
1975,1_residential,18,2296.0
1967,1_residential,7,738.0
1990,1_residential,7,1385.0
1954,1_residential,4,360.0
1959,1_residential,1,369.0
1952,1_residential,1,259.0
1956,1_residential,6,535.0
1960,1_residential,10,796.0
1961,1_residential,4,485.0
1963,1_residential,14,1576.0
1959,1_residential,8,633.0
1982,1_residential,4,779.0
1959,1_residential,4,516.0
1959,1_residential,5,595.0
1979,1_residential,4,688.0
1974,1_residential,5,709.0
1962,1_residential,1,750.0
1978,1_residential,8,1060.0
1955,1_residential,1,225.0
1947,1_residential,1,150.0
1978,1_residential,4,850.0
1963,1_residential,10,1050.0
1953,1_residential,1,453.0
1968,1_residential,9,1146.0
1942,1_residential,3,414.0
1964,1_residential,3,660.0
1966,1_residential,13,1638.0
1990,1_residential,7,838.0
1961,1_residential,2,292.0
1960,1_residential,1,218.0
1960,1_residential,8,1236.0
1950,1_residential,1,1290.0
1950,1_residential,2,240.0
1969,1_residential,5,720.0
1975,1_residential,12,1456.0
1982,1_residential,7,962.0
1950,1_residential,3,412.0
1963,1_residential,10,904.0
1949,1_residential,10,574.0
2001,1_residential,11,1577.0
1960,1_residential,5,514.0
1983,1_residential,19,3803.0
1991,1_residential,8,1072.0
1982,1_residential,4,467.0
1940,1_residential,1,84.0
1940,1_residential,1,94.0
1969,1_residential,10,960.0
1972,1_residential,5,662.0
1969,1_residential,10,865.0
1967,1_residential,5,753.0
2006,1_residential,5,665.0
1960,1_residential,12,772.0
1982,1_residential,4,664.0
1963,1_residential,5,539.0
1986,1_residential,3,497.0
2003,1_residential,4,461.0
1945,1_residential,2,150.0
1966,1_residential,4,451.0
2001,1_residential,8,956.0
1972,1_residential,10,1510.0
1963,1_residential,3,303.0
1983,1_residential,20,2554.0
1964,1_residential,3,373.0
2003,1_residential,4,788.0
1968,1_residential,13,1600.0
1962,1_residential,1,208.0
1930,1_residential,1,122.0
1971,1_residential,15,1918.0
1983,1_residential,3,368.0
1961,1_residential,2,316.0
1971,1_residential,10,1318.0
1975,1_residential,4,795.0
1963,1_residential,2,201.0
2008,1_residential,1,365.0
1945,1_residential,1,98.0
1973,1_residential,8,1062.0
1992,1_residential,1,305.0
1945,1_residential,1,157.0
1996,1_residential,2,481.0
1961,1_residential,1,192.0
1982,1_residential,4,530.0
1940,1_residential,1,146.0
1930,1_residential,2,167.0
1961,1_residential,4,462.0
1997,1_residential,8,1331.0
2010,1_residential,17,1800.0
1978,1_residential,1,323.0
1940,1_residential,1,100.0
1975,1_residential,3,554.0
1970,1_residential,3,620.0
1964,1_residential,3,469.0
1950,1_residential,3,298.0
1950,1_residential,3,330.0
1930,1_residential,6,600.0
1960,1_residential,5,623.0
1960,1_residential,5,759.0
2007,1_residential,1,306.0
1930,1_residential,1,154.0
1955,1_residential,4,701.0
1957,1_residential,4,468.0
1965,1_residential,3,535.0
1958,1_residential,11,778.0
2006,1_residential,5,402.0
1959,1_residential,2,260.0
1970,1_residential,6,709.0
1940,1_residential,1,363.0
2005,1_residential,12,2035.0
1973,1_residential,10,896.0
1940,1_residential,1,809.0
1935,1_residential,8,812.0
2002,1_residential,12,1703.0
1975,1_residential,8,1117.0
2002,1_residential,21,3920.0
1940,1_residential,1,982.0
1991,1_residential,1,292.0
1955,1_residential,3,407.0
1992,1_residential,8,1359.0
1994,1_residential,0,2948.0
1952,1_residential,8,1039.0
1952,1_residential,9,1269.0
1993,1_residential,6,1100.0
1955,1_residential,6,916.0
1952,1_residential,8,970.0
1960,1_residential,14,2047.0
1926,1_residential,7,880.0
1952,1_residential,7,804.0
1952,1_residential,1,1072.0
1932,1_residential,7,740.0
1933,1_residential,6,883.0
1952,1_residential,9,869.0
1952,1_residential,4,741.0
2002,1_residential,10,1312.0
1951,1_residential,1,371.0
1976,1_residential,1,560.0
1951,1_residential,1,292.0
2003,1_residential,12,1046.0
1964,1_residential,3,615.0
1962,1_residential,1,1278.0
2000,1_residential,4,607.0
1956,1_residential,6,611.0
1946,1_residential,3,364.0
2020,1_residential,1,224.0
1969,1_residential,18,2006.0
1948,1_residential,1,68.0
1930,1_residential,1,102.0
1966,1_residential,2,360.0
1974,1_residential,4,628.0
2007,1_residential,1,389.0
1930,1_residential,1,117.0
1945,1_residential,3,329.0
1958,1_residential,3,801.0
1965,1_residential,3,417.0
1925,1_residential,1,162.0
1955,1_residential,1,204.0
